word,frequency
smash,18
mi,18
scene,18
gosh,18
bo,18
year,18
safe,18
gotcha,18
winner,18
freak,17
suga,17
ballin,17
sense,17
fan,17
piece,17
bow,17
ass,17
destiny,17
sunset,17
reach,17
louder,17
romantic,17
motion,17
widow,17
box,17
upside,17
poison,17
dancing,17
fiesta,17
earth,17
paradox,17
helium,17
memoria,17
awesome,16
begin,16
makin,16
neverland,16
shinin,16
awake,16
verse,16
might,16
dawg,16
turnt,16
hero,16
clock,16
laugh,16
coaster,16
milkshake,16
sip,16
villain,16
fill,16
nox,16
alo,16
ush,16
amygdala,16
trunk,16
hype,15
th,15
apart,15
view,15
arm,15
lipstick,15
gettin,15
rollin,15
sucker,15
ego,15
mo,15
stick,15
spring,15
dead,15
anyway,15
mad,15
dog,15
itchy,15
ground,15
dynamite,15
dawn,15
finally,15
virgin,15
resist,15
wannabe,15
weh,15
beyond,15
oops,15
twenty,14
hurry,14
cream,14
flame,14
regret,14
rm,14
passion,14
thought,14
peace,14
hell,14
champagne,14
mariachi,14
galaxy,14
euphoria,14
pour,14
minus,14
spin,14
freaky,14
filter,14
past,14
serious,14
twice,14
pink,14
dangerous,14
lilili,14
yabbay,14
wi,14
drip,14
siren,14
supersonic,14
stranger,14
madness,14
smart,14
impurity,14
fresh,13
sure,13
everywhere,13
king,13
remedy,13
liar,13
rhyme,13
unlock,13
amen,13
outta,13
count,13
ridin,13
winter,13
goddamn,13
crew,13
plus,13
half,13
seem,13
broken,13
heal,13
vision,13
bump,13
secret,13
become,13
going,13
finger,13
realize,13
sink,13
naega,13
vu,13
test,13
dash,13
midnight,13
dreamer,13
pari,13
distress,13
honestly,12
eta,12
pray,12
prove,12
blame,12
house,12
guy,12
ju,12
choice,12
smoke,12
zero,12
airplane,12
fame,12
plz,12
kong,12
mmm,12
road,12
sorrow,12
though,12
crash,12
somethin,12
forward,12
raise,12
storybook,12
fit,12
woh,12
darle,12
highway,12
hush,12
rum,12
rim,12
town,12
dummy,12
dreamin,12
fortunate,12
ke,12
blo,12
billion,12
blossom,12
nom,12
flowerwork,12
temptation,12
pam,12
sort,12
sunny,12
mago,12
wisp,12
witty,12
impress,12
ditto,11
behind,11
romance,11
pay,11
utopia,11
boyz,11
jealous,11
tag,11
swag,11
clothe,11
welcome,11
pride,11
child,11
block,11
survive,11
band,11
idol,11
errday,11
teach,11
youth,11
everyone,11
ille,11
darkness,11
brrah,11
soda,11
camera,11
action,11
tasty,11
tempo,11
mar,11
tryin,11
waitin,11
ehh,11
gyro,11
jigeum,11
dejavu,11
domino,11
confetti,11
friday,11
bill,11
million,11
carnival,11
sour,11
chain,11
monday,11
rainy,11
quarter,11
crisis,11
fingertip,11
hair,10
whenever,10
mhm,10
deserve,10
anima,10
al,10
york,10
leviosa,10
trade,10
wassup,10
cut,10
track,10
rapper,10
yuh,10
honey,10
panic,10
funk,10
finna,10
outside,10
tongue,10
motherfuckin,10
rich,10
mr,10
hong,10
ahh,10
mask,10
gal,10
kind,10
price,10
credit,10
superhero,10
maze,10
pet,10
stage,10
vacation,10
rockstar,10
map,10
speed,10
green,10
dyn,10
rest,10
queen,10
wonderful,10
funky,10
jackpot,10
merry,10
venus,10
skrrt,10
treat,10
nirvana,10
thinking,10
arrive,10
whisper,10
recipe,10
blind,10
beep,10
idiot,10
omz,10
lik,10
glass,10
polaroid,10
chaconne,10
paranormal,10
pimple,10
jack,10
dancin,10
tuesday,10
wednesday,10
truly,10
spell,10
smarter,10
newjean,9
sit,9
may,9
playin,9
yum,9
smooth,9
karma,9
mood,9
disco,9
mark,9
impossible,9
imma,9
lead,9
dope,9
attitude,9
bug,9
sucka,9
busy,9
artist,9
spit,9
singer,9
non,9
calm,9
piano,9
spend,9
shame,9
scar,9
swim,9
learn,9
jam,9
sunlight,9
death,9
bleed,9
history,9
wishlist,9
neck,9
nu,9
nite,9
skip,9
paint,9
volume,9
network,9
playlist,9
quixote,9
curious,9
frame,9
buck,9
mission,9
lov,9
mix,9
headliner,9
influence,9
season,9
sheesh,9
callin,9
amnesia,9
sweetie,9
land,9
breath,9
read,9
ciou,9
joyride,9
gustas,9
su,9
lately,8
tee,8
lazy,8
haha,8
melt,8
ball,8
suppose,8
idea,8
scared,8
dear,8
animal,8
wowo,8
mma,8
art,8
killa,8
fighter,8
killer,8
breaker,8
mode,8
mom,8
grow,8
drum,8
great,8
whale,8
shut,8
dad,8
heavy,8
bottom,8
nightmare,8
panman,8
ill,8
load,8
brake,8
starlight,8
yesterday,8
tea,8
duper,8
sunrise,8
climax,8
est,8
sight,8
bath,8
solo,8
candy,8
holiday,8
necklace,8
limit,8
roller,8
match,8
swimming,8
stuck,8
build,8
cross,8
nega,8
sauce,8
um,8
nana,8
starry,8
balloon,8
cowboy,8
pew,8
cheese,8
fifty,8
ahead,8
page,8
wa,8
fairy,8
cover,8
write,8
swi,8
blessed,8
nowhere,8
orange,8
ugly,8
georgia,8
linea,8
shade,8
mixed,8
blockbuster,8
bloom,8
magnetic,8
stronger,8
royalty,8
fore,8
belong,8
blowin,8
aventura,8
weather,8
girly,8
girling,8
system,7
shooting,7
cola,7
clean,7
celebrate,7
paris,7
tokyo,7
chocolate,7
sober,7
dj,7
sayin,7
poppin,7
screen,7
cheap,7
hang,7
yup,7
aight,7
share,7
son,7
flip,7
bus,7
seat,7
business,7
technology,7
selfish,7
bro,7
paycheck,7
old,7
brave,7
bag,7
dare,7
nemo,7
hunnit,7
main,7
thug,7
cop,7
feed,7
rather,7
us,7
flashback,7
moonchild,7
chorus,7
imagine,7
fairytale,7
flyin,7
alight,7
along,7
zombie,7
endless,7
saturday,7
crack,7
search,7
pose,7
emergency,7
date,7
sinister,7
chapter,7
mula,7
smell,7
eat,7
translation,7
healing,7
wrap,7
umna,7
aloha,7
gravity,7
jal,7
naneun,7
eul,7
draw,7
escape,7
ruby,7
hurricane,7
ind,7
snare,7
festival,7
quiet,7
eleven,7
oui,7
shower,7
aaah,7
beauty,7
dinner,7
chasin,7
mornin,7
romeo,7
unknown,7
fatal,7
thirsty,7
moonstruck,7
tension,7
human,7
tickin,7
cr,7
flawless,7
middle,6
anybody,6
noise,6
lil,6
everytime,6
gum,6
hug,6
spinnin,6
miracle,6
thousand,6
sell,6
freedom,6
mate,6
power,6
cheek,6
mouth,6
picture,6
sweat,6
skool,6
rolex,6
possible,6
westside,6
english,6
goal,6
jumpin,6
chop,6
bless,6
player,6
deal,6
walkin,6
leavin,6
race,6
givin,6
korea,6
rushin,6
concert,6
fantastic,6
dyin,6
swing,6
scenario,6
bitter,6
takin,6
cruel,6
illegal,6
code,6
generation,6
ie,6
ae,6
softly,6
glad,6
plane,6
building,6
steal,6
casa,6
grab,6
chillin,6
stress,6
case,6
flex,6
chew,6
pourin,6
singin,6
single,6
dust,6
imagination,6
earphone,6
forest,6
der,6
dup,6
showtime,6
anywhere,6
sailing,6
boat,6
rite,6
dara,6
traffic,6
since,6
pretend,6
figure,6
sometime,6
teen,6
flare,6
neo,6
ne,6
geurae,6
weekend,6
hanttae,6
saa,6
electronic,6
shooooot,6
chal,6
kak,6
hesitate,6
ex,6
across,6
emotion,6
neon,6
juicy,6
replay,6
palm,6
bed,6
pumpin,6
honest,6
trip,6
ven,6
skin,6
contact,6
twist,6
ver,6
lockin,6
countdown,6
goo,6
allow,6
michael,6
jaw,6
homie,6
bluetooth,6
lullaby,6
dumb,6
hometown,6
brra,6
sale,6
cuff,6
eed,6
fiction,6
distance,6
superstar,6
painfully,6
hectic,6
downtown,6
tale,6
messin,6
dump,6
dange,6
mash,6
dreamcatcher,6
giddy,6
heck,6
saki,6
lobby,6
lot,5
flavor,5
crystal,5
proud,5
bridge,5
center,5
london,5
girlfriend,5
letter,5
brain,5
enemy,5
short,5
rockin,5
bts,5
caf,5
lalala,5
kid,5
dunno,5
boss,5
wack,5
genie,5
tap,5
ap,5
listener,5
playa,5
lol,5
oppa,5
slide,5
motherfucker,5
bullet,5
lever,5
liquor,5
hustle,5
normal,5
lunatic,5
gone,5
boring,5
brother,5
beer,5
extra,5
bay,5
pleasure,5
sway,5
onto,5
irony,5
umm,5
badbye,5
harmony,5
kitty,5
taehyun,5
yeonjun,5
crown,5
stack,5
stadium,5
lotta,5
sea,5
space,5
vi,5
white,5
film,5
repeat,5
west,5
east,5
ashe,5
shoe,5
cup,5
crowd,5
clue,5
timeline,5
strike,5
float,5
patience,5
dressing,5
shirt,5
pill,5
enjoy,5
front,5
bullshit,5
destination,5
edge,5
getting,5
oasis,5
happiness,5
bird,5
loha,5
dwiro,5
ganeun,5
modeun,5
geot,5
issneun,5
chaj,5
deja,5
loop,5
saucin,5
dedication,5
vroom,5
couple,5
spicy,5
rewi,5
whip,5
spark,5
crave,5
behavior,5
sadness,5
radio,5
send,5
thriller,5
twilight,5
hidin,5
courage,5
tws,5
roof,5
empty,5
exit,5
deny,5
permission,5
thrill,5
random,5
